,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
8614,3497899156.35668,4294607700.603769,8712944173.816807,22038073183.427567,28486781771.326916,33319681846.220943,37227039192.77438,40159159247.501724,41204788718.039444,44110875690.73484,33364555852.343285,18896012525.508137,10124587997.830114,26104542927.478638,21776755676.018066,647676076168.8767,1085106380486.7607,787214677688.2008,410654424766.5336,162531194350.72827,0.0
4536,72182916776.10886,73772869013.30301,146230802087.2354,358764186442.0743,547474421311.77356,715650153785.8616,891071395459.0902,1053370940653.0698,1189474212455.346,1431101017193.2854,1205132338521.5334,1310563506457.4958,763249647061.3857,11449748310946.059,12913998695852.717,179212299005322.2,170985625976336.97,90236338798409.61,40572701580007.66,14541798870033.736,0.0
4477,55037914850.769066,54831443326.11741,95241759922.3936,227162001707.9451,347253255054.6876,461417685245.23566,578572783065.8644,678371941993.2961,775390036918.7786,972371640400.5427,835955806937.8121,733763055017.9701,446353009473.53784,4428399299789.134,4856141695487.216,103821677748863.78,109812117003322.22,62724742775960.914,29478005842661.12,10913695114172.043,0.0
11964,3301004638.0334387,3749593837.3387556,9110480876.532745,20194629311.185036,24471923200.062016,26846568592.64203,30662040854.48009,33100015873.00973,33941527831.992184,35807687904.68249,30416773326.762928,69770146646.35239,40266072268.45489,982746627993.8809,1184037292275.2988,8309800995532.661,5202008573377.665,2101785243873.775,835515024024.354,276184052281.816,0.0
8821,1622153896.3954558,1931561722.3124344,5084095523.413964,15197117451.28554,21912365386.71741,27075400361.646313,31413840540.377014,34870614833.03998,36736068060.536285,40795520048.73762,31382188425.074875,17394357362.35933,9433670464.27831,15318345538.811842,12393814469.336935,488595446675.62054,831188894204.4719,602379987506.986,313650401227.73486,123891722669.86455,0.0
5636,688102742.9733553,2311833183.8022103,22026068412.999252,93489512525.26253,166528620590.06403,229517917884.86462,290679213429.71387,344966441343.6882,393241027475.29156,485555034955.9151,408248685927.2399,294135166268.1441,190565390803.27658,1330681777483.1492,1692540741428.6082,35518115106444.164,35350765062689.9,19543398264864.11,9037040921303.518,3305827356135.9907,0.0
7944,314544564.69552153,982049894.2850429,8007218929.383839,32023292367.43929,55206757582.04541,73925319593.75447,91324088814.18332,106496727184.44576,118275709345.19394,140353808674.87073,112575195612.06003,63857725691.27085,36155003478.4771,49675849626.16348,39983495468.83864,2106154964707.3389,3319321632450.206,2292559102848.5654,1166636571688.346,453755082808.37555,0.0
5276,3182849350.959759,6479816924.399761,41988889117.63515,171623846138.80002,296908531047.5684,404673456552.5508,512328120275.2016,606330835176.2997,689772819469.542,838767563815.0961,687935367161.1112,410698255192.55457,235755667373.3572,500791830035.38965,444124255663.3187,22715230542001.41,32033697774174.785,21073564137142.17,10523417583803.254,4047571642359.454,0.0
14782,90015910.64548656,164606132.9709557,517191261.5102122,1555974860.0064945,2067605856.1877463,2426562259.849311,2668392145.8550596,2851582874.1839056,2927782721.3275757,3072512134.0402613,2268722944.362864,1179012393.2899942,622623956.8333445,417522303.49504846,295979750.7447384,8626169351.303791,16355346182.240194,12661316250.18004,6809874378.664931,2749999738.058457,0.0
4833,43834966852.4325,51096684376.209305,144913206889.47208,415976201916.22284,617825071905.3103,788128458354.4917,966557977958.6764,1111652621788.2947,1221480223454.0156,1433444229630.4734,1192691075271.991,1053059162149.6206,617987861961.1522,7118654433814.815,8060533845363.654,158828031479928.94,155880748880542.84,84651367877738.53,38722923111208.33,14054477189399.977,0.0
