,FUV_GALEX_FilterResponse,NUV_GALEX_FilterResponse,u_VST_FilterResponse,g_VST_FilterResponse,r_VST_FilterResponse,i_VST_FilterResponse,Z_VISTA_FilterResponse,Y_VISTA_FilterResponse,J_VISTA_FilterResponse,H_VISTA_FilterResponse,K_VISTA_FilterResponse,W1_WISE_FilterResponse,W2_WISE_FilterResponse,W3_WISE_FilterResponse,W4_WISE_FilterResponse,P100_Herschel_FilterResponse,P160_Herschel_FilterResponse,S250_Herschel_FilterResponse,S350_Herschel_FilterResponse,S500_Herschel_FilterResponse,z
2387,1270323.5280704347,26684541.861957893,311309272.8237984,1174464195.6604023,1999958556.5791907,2599780809.219995,3105703858.1448474,3542122979.992695,3801075702.4866557,4306769460.518998,3299828489.098832,1710621233.4327443,949577353.3806404,174520224.35122028,61925026.250771604,175399831.4599406,324944988.1143409,250531482.85523728,134594059.68257856,54338397.32168548,0.0
1175,173272138.35825312,293915928.48529816,1188421043.7505915,3900038441.0341353,6017985199.75521,7656821442.228181,9160541734.783566,10505147924.021976,11223404261.547611,12765058385.161142,9941202001.668953,5249056713.83438,2912118053.218728,761858210.0092914,378295065.771173,7752493469.740181,14789208743.28467,11466164259.95634,6171229884.331159,2492951209.3499084,0.0
2865,301935684.6518981,406130027.086114,1235270281.5579507,3812430382.698809,5489730390.592741,6761126733.89771,7903342621.638777,8957539642.004843,9482510225.911747,10607261766.177952,8207681749.3190565,4336565274.873428,2427981872.5396724,943900708.795324,587914694.5807986,12192110902.270306,22499500613.29155,17305044643.34988,9281542500.645031,3742832969.011009,0.0
2107,15084149583.53362,15703282299.82702,23381026955.269264,46268443541.392334,51275928071.06052,57261815774.86589,63389919351.0832,68228036811.8519,68937832865.34137,73994819032.32748,59419134382.21636,66883117705.14861,37967697445.18963,632289326087.3274,752205103508.2272,7820868226412.739,5937160776790.578,2787637097364.745,1198411639101.5715,418657510062.2206,0.0
900,273177225.1591866,439450421.3197406,1238729554.5442233,3548122275.424178,4828402421.260383,5686396264.26213,6246037691.252236,6685782539.390624,6868080919.503244,7173687107.189062,5288924210.671587,2716932546.1977887,1424919701.7325008,288013039.69679594,118516431.63319121,1195448609.3876555,2239116452.525276,1728829237.2146761,928900206.8776805,374942428.87402886,0.0
1227,17557688487.797405,20726755856.408085,41935006450.04479,101150605745.2715,130797119145.84491,158076200002.03494,185172332680.65976,207789885913.28714,217324214430.7577,245254741743.8297,194875523697.68008,142241287825.0992,81481270020.21878,649919748768.6078,661836313792.6162,14332318825768.035,15102038715055.76,8438241496405.65,3887923327112.8555,1414937670860.483,0.0
4609,9888296.004746709,46330553.42546561,338962901.3861722,1228353847.301816,1910597936.4186382,2399297306.585486,2817892030.878425,3208799968.9162135,3428332068.326079,3831205470.7998986,2959055672.395367,1559554637.960078,865252277.5163472,157118747.17004618,53794814.8656267,42956045.17646448,77309584.31178121,59453676.2160299,31964684.369101312,12923186.121597832,0.0
4649,6582690172.623571,6222017984.840669,5869644091.855135,8582850251.0344715,9042850555.003578,11228647912.915577,14344357514.92907,16129712072.297602,15991983560.372501,18644151718.63993,14938849972.267273,8357260624.059597,4855414788.0937195,13001559768.827633,11773710242.974134,283928159865.04614,325505320743.14014,180695115628.45874,81410761999.4075,28975989688.307,0.0
3281,41887476.432419285,106906963.99275419,491441253.36290544,1655042064.0044992,2393652946.783696,2950795122.982104,3443664872.790216,3870248938.115953,4068212069.7776003,4530162896.893436,3486791886.5742817,1828688606.1957693,997267158.6137049,179896860.11293885,61236416.419714265,43518004.6280098,77700276.29566416,59679875.14371118,32078541.50351048,12969902.944779778,0.0
2601,257453470.40570706,395125398.24965674,1551030935.2151313,4532037220.963542,6711426026.215465,8694184752.570293,10576159784.259504,12285649158.83443,13229966665.859022,15368905760.018965,12188841366.208876,7207995857.824062,4131566920.205298,13951923245.989628,11799266418.816048,340907559985.0738,476886433923.4279,308887398787.9363,152467186605.31314,58153688049.05798,0.0
3457,79690380.35451189,193694923.90750772,1384449266.5026367,5259368924.779612,8696690418.222702,11347615917.605186,13780259953.314144,16041151289.909409,17438731366.12192,20139045980.704857,15883799670.071678,8569746511.482327,4817372848.992669,2326993027.601132,1533575166.2531028,48867646098.52055,93353916050.01822,72379066139.38287,38953259427.472206,15734099464.624367,0.0
3500,14250778.648607234,43649868.06355479,251404235.30017015,873128130.3030392,1352427819.978667,1701829185.915128,1984165843.2259502,2220480097.0026274,2340130435.0655737,2590863670.713963,1962746717.318509,1012480724.2069482,551933372.436034,107172434.08851138,41376676.31251694,352427525.5247263,670303107.3987001,519484377.89919895,279580506.9662002,112945595.78594117,0.0
914,2964757869.317708,3834657074.995373,10085807370.726318,29725405544.773678,44209293903.60592,57048186143.52308,70061249198.02606,83047099441.07216,91808685684.06148,110142674905.27904,90393621765.97606,56346313529.0315,33241411667.760544,112822827173.69841,104596600720.2095,3265424545537.6953,3490847897753.825,1982762725663.7522,930468390030.2708,344420580852.2154,0.0
441,9397971593.02773,14611064542.248455,99691331955.73895,408736960836.4679,740138474973.5316,1014377630384.3662,1285524396443.2197,1550828324809.4514,1721037695963.567,2068438146132.4775,1665412566473.3987,937388012119.9122,544150035352.1511,973857468976.061,1073514384088.7872,14586706247528.855,13240666503038.754,6581329803100.497,2852879479167.1157,994665950313.7885,0.0
3168,7921725071.345024,7867833442.896247,11178081160.605412,20809816813.31672,20485721197.403374,20566336623.1832,21592870876.992855,21455314780.36474,20207974201.954445,19505407059.044987,14772462197.955872,13971676551.491251,7906529180.864775,103740548357.08867,103443292822.91429,2059338763876.951,1975586060578.4102,1005885667735.1469,440103787563.3557,154471977939.97766,0.0
3699,1367222.5986184124,36552931.85743465,448213978.64716333,1756306864.768871,3031163339.2869806,3986128599.2014203,4809147893.2394495,5474418544.538237,5857400771.953578,6705074800.223215,5137717461.135725,2658119659.581435,1453555355.0502887,283746854.15830976,109183434.33802792,1070747807.466918,2055081713.5413723,1595960518.2363443,859659865.215547,347427089.5002538,0.0
4281,780917569.0051823,735642345.7868297,937082240.9247679,1841221860.7240937,2252693943.8205085,2617786801.278904,2936088339.0184507,3169110349.7471695,3256985147.26859,3527624222.0284967,2651232433.9581804,1371492710.6537848,728527379.2885038,254035047.3437203,153682033.99545822,2564797750.93177,4608343593.250367,3520983340.5099616,1883039680.6338277,758241367.1578228,0.0
1979,293490863.6166524,722328379.0805006,4602501462.533688,16910457439.522821,27236057115.485474,35333366933.35156,42690795472.834175,49373653742.170105,53441700229.2543,61442360696.99823,48277969280.40509,26424008388.6201,14832429342.430504,13221004125.486992,9915964102.39428,438195304928.30493,846728153884.7515,657754714933.9388,354203919227.8398,143091830676.44986,0.0
4026,869647.9764350092,17184104.285121027,216756627.77785942,858666682.7787205,1511666157.2708611,1994412403.415932,2408021714.588133,2764326057.094616,2968491578.920577,3398108527.9302206,2598582583.9294524,1332083766.8397565,740454057.7579981,130799574.9946769,44044196.59538209,2333502.2295344793,992432.7596835716,440397.33991124557,225969.89012629527,103748.57770615749,0.0
1797,4465186321.114492,5253839670.470451,9564391413.980986,24532436757.182907,34986587982.23852,44863473946.71378,55644872328.68563,65564250474.4151,70783204882.84001,82994127903.94559,66294536168.47924,36073104199.002174,20668826488.194798,20265183300.459732,16083528723.686754,404475706602.8043,673994704549.1343,492486351398.21515,258302906382.21146,102695433636.17131,0.0
4913,41335160.90547311,93299825.99052854,399499223.2458026,1287150005.1916087,1804488221.2147245,2195500480.6491575,2542246577.960953,2844820392.4874916,2984083718.17081,3310149604.869642,2545071607.6250815,1340990337.1698298,735302781.3827583,267095716.4001244,157290698.63730597,4277799313.5911636,8192498448.050545,6357265087.007402,3422774256.5512486,1382920031.5358543,0.0
1127,31928924001.861595,35862812414.16105,66183149357.13469,158995098364.2123,209840077536.67487,246157529731.69717,287398223941.86066,325458221821.7961,342432191433.9372,380717856431.84625,307068386537.39984,244948682537.96057,138846106750.2992,1404441535415.877,1477130457416.4622,23528767868500.445,23817813031062.79,13255598057086.2,6141357302081.68,2249580827227.2334,0.0
990,1155686108.6731312,1498250232.139783,3735362024.279766,10623127873.112705,15251790774.75743,18879225298.07456,22111680774.293747,24836341824.046963,26233404525.398315,29355564568.52935,22718991103.398247,12270011041.242283,6744044462.732472,6093672303.718004,4588252626.053006,132732951076.38255,249302307567.12314,192530325702.9393,103442217973.37155,41748273129.79552,0.0
3065,1638533.0820343362,32220253.986006066,354099468.5274098,1323804401.8885777,2254845727.4916916,2923877219.1918645,3470472068.8491907,3929780182.2973275,4200607769.4970226,4730148409.740734,3593454937.15008,1848601640.8400793,1020502553.4169304,179952603.642606,60622281.462072745,11613985.283695485,17253905.365790445,12895933.417616978,6918443.237360581,2810326.5265075113,0.0
3634,1964923.0031893388,39533154.06202633,424138616.5793619,1605713176.1978693,2643398789.117944,3396538260.0370584,4060971563.6655765,4681141124.904747,5051495724.35613,5743355423.277952,4467303271.90682,2354506520.669308,1329585062.7573173,242295155.92082074,82562717.79234385,14480771.40285152,20493072.53426625,15165828.792303959,8121003.820234599,3300382.049623366,0.0
