,mass,dustmass,logmet,sfr100
12699,257292169.84211093,3162550.3460975215,-0.5705580388061118,0.018512434800963807
11690,305875665.36574197,3342627.927342728,-0.526866086703327,0.06063174322218945
8851,403355284.35489607,5507553.9072259525,-0.5468544276666161,0.13024237588396645
14176,125615426.84010088,1139813.2958391355,-0.662380110485324,1.2561542684010108e-05
7816,1646459305.4379985,19659992.42309479,-0.2897153058054225,0.2082923047412458
11483,101277411.2407236,952627.9710311468,-0.7659727234820619,1.0127741124072341e-05
11204,159072961.1200892,2010086.6027375234,-0.667232804132214,1.5907296112008952e-05
13904,88235796.4158121,1282388.544850658,-0.7359367787889826,8.823579641581207e-06
10966,242282703.88708642,2789239.501945611,-0.5864501037845808,2.422827038870867e-05
7815,2117567519.9281034,15657513.189255435,-0.20574893262569455,0.11916049052043112
11688,108453792.20853293,1498594.355434067,-0.9080503922153309,0.04965582600002938
12108,117834952.56342496,1718319.4170205845,-0.6164450173996711,0.030256007052334125
12868,283712746.7586906,1805128.5579050817,-0.46195610337460125,2.8371274675869103e-05
9543,1164986170.3051784,12939478.969366215,-0.4722600963124811,0.07993672329696884
11503,370556876.27177393,4911615.800358584,-0.4381307688221507,0.012115615253908776
5783,6970811391.803926,49408281.552829266,-0.08018462624784456,0.7129927649726877
14502,79213053.34197283,891134.7549600892,-0.9144828385044298,0.0281945653863053
7237,2256183625.7655835,19650011.765966266,-0.2736454469119902,0.18117324914152347
11597,53378448.66322168,585722.4071663126,-1.0104841761934082,5.337844866322166e-06
11118,87241600.36773825,1300656.7164453478,-0.9348593039225087,0.045598080426201414
11933,300715921.6616473,3109051.7000106312,-0.6228958270425629,0.0947525239868705
7475,2306503891.2036357,26346412.107068393,-0.3628152066168157,0.2973036131431287
14234,170052656.0759462,1688081.6419714568,-0.7486017957553908,1.70052656075946e-05
11493,226174740.3495348,3194323.182686937,-0.6131461842763768,0.01713693174653306
8060,259657131.54667762,3653622.3545588283,-0.6940605482641302,0.025555602289706533
12932,140870421.0266936,1615941.6150824958,-0.6681757932541333,0.03940373974021795
12986,135731274.32983354,1589285.3664404312,-0.7152147038347207,1.3573127432983333e-05
9507,377204018.51326954,5391118.679007906,-0.6407286582711607,0.08039913002595221
10397,1195710377.5749629,10874306.263356613,-0.3128128269980053,0.0891102656669464
4356,89884249.4672545,641379.3562878012,-0.6107828525559238,8.988424946725456e-06
9819,800957306.9693258,9167920.473094344,-0.43685383351794893,0.136443842835791
14495,70924928.98276457,786164.5840872175,-0.8452854635858473,7.092492898276454e-06
8658,2359542950.7348185,24499177.43575619,-0.21377933120460477,0.5250387756099685
8393,178780376.46896043,2962373.0554955294,-0.6332266032369499,0.07549121669217937
10757,133527916.89085941,1960521.9128731727,-0.7275043159587499,1.3352791689085945e-05
12898,362138605.1272706,4604792.678618566,-0.5182464879708257,0.10810925843006947
5346,8615370483.100693,91676352.1504119,-0.15403299223486827,1.646394860113731
2899,59533836.57155402,1834703.3457769766,-0.3381553098488187,0.012441837442364746
13577,101377689.11368883,1279337.8251131026,-0.7340528520323043,1.0137768911368876e-05
2671,321501150.77162814,1568174.7458497924,-0.43544882553209974,0.018536814755208516
8966,321192179.55159914,5082998.808302655,-0.6278487509147929,0.059206723189073794
6123,3780499656.6154346,44632182.82049056,-0.31322470992408774,0.13938756027566146
6000,199333727.58198172,2074292.9530160716,-0.6398752851339667,0.03153655584976485
7071,2134843951.2789922,27309424.792133085,-0.33586962131268266,0.10695623754051747
8718,412505480.39652276,5177334.179948183,-0.5405104106817028,0.0622272592989597
12402,52888592.66864553,816871.7027722963,-0.8119595077321833,0.019290839640700372
8890,1145651304.9445415,13330002.860440534,-0.3371353836243736,0.13048491487304112
11029,328458579.657332,2894040.1094227154,-0.42357325872745744,0.01894773638655786
11156,208671365.21855068,2683729.610339382,-0.5394956754597129,0.08594367723280778
9136,435041422.8178719,4188610.6959252325,-0.5276135059738426,4.3504142281787144e-05
12552,83771076.50603276,1124058.5481302734,-0.9029247405351082,0.013518248745326714
6085,566330147.5608995,6638422.557214425,-0.48298387960291067,0.24228223336115506
10637,419916880.1120682,4389145.200983127,-0.43859471058711985,0.2527706445119955
9314,1402091230.950385,10662417.089662002,-0.39065709948389155,0.18871709188386665
8830,432360279.8854403,5323746.122355255,-0.5687670188312931,0.03627459307430375
10066,765598363.893115,8948411.694902655,-0.37711403480554156,0.1705765035040334
12879,64457750.12545009,734530.5611752251,-0.8615303104220242,6.4457750125450155e-06
13218,365289524.60242844,3056060.0857603233,-0.4509998132232937,0.06433197283839807
8586,943766773.3317459,13028327.904455518,-0.4303297788295196,0.13560933979190073
6757,2562993163.150899,28712050.18190742,-0.2705306735130107,0.6436850587459892
11815,250254202.1796571,2902392.290408178,-0.516334895833803,0.028337202529117485
8470,1036409999.9496682,11434367.861337774,-0.40177598447802076,0.22035813841527574
7434,868252595.6029483,11004937.70109012,-0.5302009805099572,0.2889570242491149
14615,77513643.18475144,830866.355214296,-0.8007430930700916,0.0093788425884196
13791,56282614.76078923,723570.6078721842,-0.8622217923983215,5.62826147607892e-06
4279,922126739.6356308,7700078.132099603,-0.4185428117949265,0.2755989075882854
11447,71454116.07169099,1096399.320260099,-0.9305974269443916,7.145411607169102e-06
3957,1200685098.6124213,7786977.424318798,-0.21109732704302298,0.13719302229759503
8525,170284868.73580715,3207348.9926818265,-0.6690096030343584,0.015396242151949471
6843,4912843903.872388,51427393.68778673,-0.19120829103649226,0.71638877547845
7549,1195505855.8736002,15150701.897586584,-0.33554997739516235,0.29778325257835864
8247,1005042195.7492542,12790367.372283889,-0.458872340483683,0.25620866931232805
4162,44444389189.37725,99933974.01324694,-0.04612245135570215,0.5344503094051555
13409,77273324.34120044,832228.3109305633,-0.7299497146409099,7.727332434120044e-06
2470,2088739322.4474857,13472555.442236785,-0.2258224092576675,0.612047556583717
12722,131100877.78251046,1176299.0136226823,-0.7432130548955714,1.3110087778251049e-05
2167,318165662.1688217,6857489.700049107,-0.24625269105699057,0.5305160266057981
8288,309551833.0417299,1770245.6336660786,-0.5193854710936846,3.095518330417305e-05
11058,787164264.2383927,7850452.843318815,-0.34275961421262546,0.2985246719760274
9903,322879650.516503,3893128.448801655,-0.557202631717917,0.014360816278833236
13597,136218846.89389712,1278444.4577281717,-0.6457436532492473,1.3621884689389715e-05
6773,3700094043.4771547,43524873.587452754,-0.3690795409087421,0.518484214863766
12856,152638347.59730634,1683901.4976008132,-0.7956630886503552,1.5263834759730614e-05
10502,67212622.84226298,927535.9842928979,-0.8499924937157598,6.721262284226305e-06
4820,6535239115.12121,36513175.1688596,-0.1173382984448079,1.5658392799519725
5066,4085532144.118063,21170371.013545226,-0.16691647446269964,0.19421496124688004
11849,167083734.81489292,1396161.4251094894,-0.6376915628567412,0.01382507706609583
11332,76224102.2525184,913350.0054192824,-0.9125913942313131,0.020157594386358703
6215,50258378.405178934,510761.29594720906,-0.87204486846434,5.025837840517897e-06
6354,135098230.24984884,1332146.2593592552,-0.6750939045685704,1.3509823024984858e-05
4950,323385384.34982044,3563785.235236011,-0.646069468121365,0.01647948919038716
7628,6971472402.537187,38769811.81979969,-0.10379377123831701,0.17364713076058888
